Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,Zip_Code,POB,Telephone,Fax,Free_Tel,Handicap_Access,day_closed,Branch_Type,Open_Date,Close_Date,Merge_Bank,Merge_Branch,X_Coordinate,Y_Coordinate
22,Citibank,2,פנימי,"דרך מנחם בגין 121  , מגדל עזריאלי שרונה",תל אביב -יפו,6701203,,03-6842424,03-6842401,,לא,,מחלקה,20/03/2002,,,,,
22,Citibank,1,ראשי,דרך מנחם בגין 121 מגדל עזריאלי שרונה,תל אביב -יפו,6701203,,03-6842424,03-6842401,,לא,,רגיל,31/12/1999,,,,,
23,HSBC,102,אייצ' אס בי סי בנק,ז'בוטינסקי  2 בית אמות אטריום,רמת גן,5250501,0,03-7101100,,,כן,יום ש,יחידת ביצוע,30/11/2015,,,,34.8091,32.080040
23,HSBC,101,אייצ' אס בי סי בנק,ז'בוטינסקי  2 בית אמות אטריום,רמת גן,5250501,0,03-7101100,,,כן,יום ש,רגיל,30/11/2015,,,,34.8091,32.080040
18,One  Zero - הבנק הדיגיטלי בע"מ,1,לקוחות,עמינדב 3 ,תל אביב -יפו,6706703,,,,,לא,,מחלקה,01/03/2021,,,,32.07,34.79
18,One  Zero - הבנק הדיגיטלי בע"מ,50,תאגידים,עמינדב 3 ,תל אביב -יפו,6706703,,,,,לא,,מחלקה,01/03/2021,,,,32.07,34.79
18,One  Zero - הבנק הדיגיטלי בע"מ,410,תשלומים לספקים,עמינדב 3 ,תל אביב -יפו,6706703,,,,,לא,,מחלקה,01/03/2021,,,,32.07,34.79
18,One  Zero - הבנק הדיגיטלי בע"מ,300,ניהול נכסים והתחייבויות,עמינדב 3 ,תל אביב -יפו,6706703,,,,,לא,,מחלקה,01/03/2021,,,,32.07,34.79
18,One  Zero - הבנק הדיגיטלי בע"מ,400,הנהלה,עמינדב 3 ,תל אביב -יפו,6706703,,,,,לא,,מחלקה,01/03/2021,,,,32.07,34.79
39,SBI State Bank of India,1,SBI State Bank of India,זבוטינסקי 3 3 ,רמת גן,52520,,03-7565404,03-6005377,,לא,,רגיל,21/03/2007,,,,,
13,בנק אגוד לישראל בע"מ,63,תל אביב ראשי,אחוזת בית 6 ,תל אביב -יפו,6514304,,1-599-599-063,,,כן,יום ו,רגיל,01/02/1949,15/12/2022,20001,,34.770454,32.064260
13,בנק אגוד לישראל בע"מ,51,ירושלים ראשי,בן יהודה 1 ,ירושלים,9462401,,1-599-599-051,,,כן,יום ו,רגיל,01/02/1949,15/12/2022,20001,,35.219344,31.781775
13,בנק אגוד לישראל בע"מ,93,רחובות,אחד העם 1 ,רחובות,7626101,,1-599-599-093,,,כן,יום א,רגיל,01/02/1949,15/12/2022,20001,,34.812181,31.896297
13,בנק אגוד לישראל בע"מ,95,פולג,הבונים 3 ,נתניה,4250452,,1-599-566-095,,,כן,יום ו,רגיל,10/12/1995,15/12/2022,20001,,34.860666,32.280368
13,בנק אגוד לישראל בע"מ,196,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191235,,,לא,,יחידת ביצוע,14/09/2004,29/12/2022,20001,,34.770454,32.064260
13,בנק אגוד לישראל בע"מ,81,חיפה ראשי,פלי"ם 6 ,חיפה,3309509,,1-599-599-081,,,לא,יום ו,רגיל,01/02/1949,15/12/2022,20001,,35.000336,32.816731
13,בנק אגוד לישראל בע"מ,198,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191235,,,לא,,יחידת ביצוע,14/09/2004,29/12/2022,20001,,34.770454,32.064260
13,בנק אגוד לישראל בע"מ,992,משכנתאות,אחד העם 9 ,תל אביב -יפו,6525101,,03-5191901,,,לא,,יחידת ביצוע,16/02/1999,29/12/2022,20001,,34.770454,32.064260
13,בנק אגוד לישראל בע"מ,125,מרכז הלוואות,אבא הילל סלבר 13 ,לוד,7129463,,03-6798440,,,לא,,מיוחד,01/06/2015,29/12/2022,20001,,34.90,31.965243
13,בנק אגוד לישראל בע"מ,123,אגוד ישיר,אבא הילל סלבר 13 ,לוד,7129463,,1-700-700-022,,,לא,,מיוחד,24/12/2003,29/12/2022,20001,,34.90,31.965243
13,בנק אגוד לישראל בע"מ,197,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191794,,,לא,,יחידת ביצוע,14/09/2004,29/12/2022,20001,,34.770454,32.064260
14,בנק אוצר החייל בע"מ,365,צהלה,צה"ל 71 ,תל אביב -יפו,6993432,,03-7685200,,,כן,יום א,רגיל,01/02/1949,,31001,,32.121771,34.834727
14,בנק אוצר החייל בע"מ,355,אשדוד,"שד' מנחם בגין 7 מרכז צימר, ככר הסיטי",אשדוד,7766813,,08-8578300,,,כן,יום א,רגיל,01/03/1995,,31001,,31.788451,34.641896
14,בנק אוצר החייל בע"מ,343,אריאל,אורי בר-און 2 ,אריאל,4070403,11815,03-9371200,,,כן,יום א,רגיל,25/06/1986,,31001,,32.104861,35.175567
14,בנק אוצר החייל בע"מ,375,רמת השרון,הסייפן 33 ,רמת השרון,4724833,,03-7605200,,,כן,יום א,רגיל,01/02/1949,,31001,,32.145875,34.818277
14,בנק אוצר החייל בע"מ,349,אשקלון,שד ירושלים 119 ,אשקלון,7861785,450,08-6799200,,,כן,יום א,רגיל,10/10/1993,,31001,,31.690809,34.576203
14,בנק אוצר החייל בע"מ,345,רעות,מרכז מסחרי רעות 0 ד.נ. מודיעין,מודיעין-מכבים-רעות*,7190800,1017,08-9269666,,,כן,יום א,רגיל,15/09/1991,,31001,,31.886734,35.017569
14,בנק אוצר החייל בע"מ,334,"חבר",בסיס תל השומר 0 ,רמת גן,,,03-7177452,,,כן,יום ו,יחידת ביצוע,01/08/2012,,31001,,32.050606,34.849166
14,בנק אוצר החייל בע"מ,330,רמת גן,ביאליק 10 ,רמת גן,5245105,,03-6757200,,*3009,כן,יום א,מחלקה,09/05/2021,,,,32.079721,34.814999
14,בנק אוצר החייל בע"מ,382,בת ים חולון,יוספטל 92 קניון בת ים,בת ים,5964101,,03-5552200,,,כן,יום ו,מחלקה,09/02/1983,,31001,,32.015182,34.756167
14,בנק אוצר החייל בע"מ,310,חדרה,הלל יפה 22 ,חדרה,3842401,315,04-6240200,,*3009,כן,יום ו,מחלקה,08/12/2020,,,,32.436590,34.916947
14,בנק אוצר החייל בע"מ,324,טבריה,ככר רבין (רסקו) 1 ,טבריה,1420701,28,04-6700200,,,כן,יום ו,מחלקה,15/12/2020,,,,32.788629,35.539753
14,בנק אוצר החייל בע"מ,303,אוצר החייל רמות,יצחק מודעי 30 ,באר שבע,8470137,,,,,כן,יום א,מחלקה,01/05/2023,,,,31.266810,34.809739
